;Ano;Nome do Evento;Edição do Evento;Cidade;País do Evento;Total de Amostras;Países Participantes;Data do Evento;Total de Prêmios;pais;continente
49;2013;Vinandino;11;San Juan/Mendoza;Argentina;750.0;0.0;10 a 16 de novembro;11;Argentina;America do Sul
50;2013;VINUS - Concurso Internacional de Vinos y Licores;10;Mendoza;Argentina;400.0;13.0;7 a 10 de agosto;22;Argentina;America do Sul
51;2013;Muscats du Monde;13;Frontignan la Peyrade;Franca;224.0;20.0;4 a 6 de julho;4;Franca;Europa
52;2013;Concurso Internacional Ensenada Tierra del Vino;21;Ensenada;Mexico;236.0;6.0;5 a 7 de julho;2;Mexico;America do Norte
53;2013;San Francisco International Wine Competition;33;San Francisco;Estados Unidos;4539.0;30.0;14 a 16 de junho;21;Estados Unidos;America do Norte
54;2013;VinAgora International Wine Competition;14;Budapeste;Hungria;560.0;19.0;14 a 16 de junho;4;Hungria;Europa
55;2013;Citadelles Du Vin;13;Bourg-sur-Gironde;Franca;1159.0;29.0;25 a 27 de maio;19;Franca;Europa
56;2013;Premios Zarcillo;15;Valladolid;Espanha;1819.0;20.0;20 a 24 de maio;1;Espanha;Europa
57;2013;Sélections Mondiales des Vins;21;Quebec;Canada;1722.0;34.0;29 de maio a 3 de junho;1;Canada;America do Norte
58;2013;Concours Mondial de Bruxelles;20;Bratislava;Eslovaquia;8200.0;50.0;10 a 12 de maio;5;;
59;2013;Mondial du Merlot et Assemblages;6;Sierre;Suica;320.0;17.0;19 a 21 de abril;1;Suica;Europa
60;2013;International Wine Challenge;29;Londres;Inglaterra;10000.0;40.0;8 a 12 e 16 a 19 de abril;29;Inglaterra;Europa
61;2013;Challenge International du Vin;37;Bourg-sur-Gironde;Franca;4360.0;26.0;5 e 6 de abril;16;Franca;Europa
62;2013;Thessaloniki International Wine and Spirits Competition;13;Thessaloniki;Grecia;553.0;5.0;4 a 6 de março;1;Grecia;Europa
63;2013;Chardonnay du Monde;20;Saint Lager;Franca;872.0;42.0;13 a 16 de março;5;Franca;Europa
